state,forecast_month,forecast_step,forecast_mean,ci_80_lower,ci_80_upper,ci_95_lower,ci_95_upper
Haryana,2026-04,4,100053.39999999994,30361.892032180724,169744.90796781913,0.0,206602.039326775
Haryana,2026-05,5,101090.03333333327,23172.558698077264,179007.50796858926,0.0,220215.03355572151
Haryana,2026-06,6,102126.6666666666,16772.349703533968,187480.98362979922,0.0,232621.56623588654
Haryana,2026-07,7,103163.29999999992,10970.100712036889,195356.49928796294,0.0,244113.9010954816
Haryana,2026-08,8,104199.93333333325,5641.257583010694,202758.6090836558,0.0,254882.4641216579
Haryana,2026-09,9,105236.56666666658,699.3047149377671,209773.82861839538,0.0,265059.5256568292
Haryana,2026-10,10,106273.19999999991,0.0,216465.14937504055,0.0,274741.39093219937
Haryana,2026-11,11,107309.83333333324,0.0,222880.12483499327,0.0,284000.7626182425
Haryana,2026-12,12,108346.46666666657,0.0,229055.69932302067,0.0,292894.12345797237
Himachal Pradesh,2026-01,1,29883.799999999996,16944.52593874377,42823.07406125622,10101.446521012313,49666.153478987675
Himachal Pradesh,2026-02,2,34020.79999999999,15721.903135309032,52319.696864690944,6044.327414357023,61997.27258564295
Himachal Pradesh,2026-03,3,38157.79999999999,15746.319912846113,60569.280087153864,3893.758681106381,72421.8413188936
Himachal Pradesh,2026-04,4,42294.79999999999,16416.25187748753,68173.34812251244,2730.0930420246223,81859.50695797536
Himachal Pradesh,2026-05,5,46431.79999999999,17498.703619531283,75364.8963804687,2197.1128660540708,90666.4871339459
Himachal Pradesh,2026-06,6,50568.79999999999,18874.180907892423,82263.41909210755,2112.128065108547,99025.47193489142
Himachal Pradesh,2026-07,7,54705.79999999998,20471.698688207267,88939.9013117927,2366.6123470251478,107044.98765297481
Himachal Pradesh,2026-08,8,58842.79999999998,22245.00627061807,95440.59372938189,2889.854828714051,114795.7451712859
Himachal Pradesh,2026-09,9,62979.79999999998,24161.977816231294,101797.62218376866,3632.7395630369356,122326.86043696303
Himachal Pradesh,2026-10,10,67116.79999999997,26199.222697293226,108034.37730270672,4559.505527843001,129674.09447215695
Himachal Pradesh,2026-11,11,71253.79999999997,28339.08287923497,114168.51712076497,5643.156040016038,136864.4439599839
Himachal Pradesh,2026-12,12,75390.79999999997,30567.839825692223,120213.76017430772,6862.717362212759,143918.8826377872
Jammu And Kashmir,2026-01,1,55325.71428571428,35558.22739131318,75093.20118011539,25103.971451840524,85547.45711958804
Jammu And Kashmir,2026-02,2,61313.71428571428,33358.26622561983,89269.16234580873,18573.715691498117,104053.71287993045
Jammu And Kashmir,2026-03,3,67301.71428571428,33063.42264665965,101540.00592476889,14956.120204164305,119647.30836726425
Jammu And Kashmir,2026-04,4,73289.71428571428,33754.740496912076,112824.68807451648,12846.228617966757,133733.1999534618
Jammu And Kashmir,2026-05,5,79277.71428571428,35076.269845497205,123479.15872593134,11699.84291065541,146855.58566077315
Jammu And Kashmir,2026-06,6,85265.71428571428,36845.45789727788,133685.97067415068,11237.865205109498,159293.56336631905
Jammu And Kashmir,2026-07,7,91253.71428571428,38953.85991840045,143553.5686530281,11294.49856033588,171212.93001109269
Jammu And Kashmir,2026-08,8,97241.71428571428,41330.81816552537,153152.6104059032,11761.717097281944,182721.7114741466
Jammu And Kashmir,2026-09,9,103229.71428571428,43927.25360251097,162532.17496891756,12564.48578409299,193894.94278733555
Jammu And Kashmir,2026-10,10,109217.71428571428,46707.43208187846,171727.9964895501,13648.172070801476,204787.2565006271
Jammu And Kashmir,2026-11,11,115205.71428571428,49644.37720871811,180767.05136271042,14971.532795142906,215439.89577628564
Jammu And Kashmir,2026-12,12,121193.71428571428,52717.13100760503,189670.29756382352,16502.526122614334,225884.90244881422
Jharkhand,2026-01,1,116869.53333333327,0.0,274029.42622812,0.0,357145.18861709454
Jharkhand,2026-02,2,99618.44761904755,0.0,321876.09961195796,0.0,439419.5380294254
Jharkhand,2026-03,3,82367.36190476184,0.0,354576.2813106155,0.0,498537.0046781418
Jharkhand,2026-04,4,65116.276190476114,0.0,379436.0619800496,0.0,545667.5867579987
Jharkhand,2026-05,5,47865.190476190415,0.0,399285.39432551974,0.0,585137.8890289873
Jharkhand,2026-06,6,30614.104761904717,0.0,415575.6503845876,0.0,619166.8578199847
Jharkhand,2026-07,7,13363.01904761899,0.0,429169.01172077167,0.0,649072.6490315341
Jharkhand,2026-08,8,0.0,0.0,444515.30398582085,0.0,679602.1808207558
Jharkhand,2026-09,9,0.0,0.0,471479.6786843602,0.0,720826.9658512839
Jharkhand,2026-10,10,0.0,0.0,496983.2183756393,0.0,759818.3369861568
Jharkhand,2026-11,11,0.0,0.0,521240.3968244491,0.0,796904.1948330111
Jharkhand,2026-12,12,0.0,0.0,544417.8388117072,0.0,832339.2855467598
Karnataka,2026-01,1,182468.4722222222,67851.9215489627,297085.02289548167,7235.68024126385,357701.26420318056
